NDomain	NNode	Time(ms)
4	28	0.913159
1	29	0.640436
1	21	0.441214
1	19	0.370183
4	29	0.825148
4	27	0.988179
4	28	0.925579
4	29	0.851058
4	29	0.774267
4	65	4.15532
4	63	4.06984
4	61	3.79933
4	61	3.42389
4	59	3.69923
4	61	3.47755
4	60	3.1153
1	24	0.822408
4	41	1.68318
4	39	1.34804
4	48	2.12534
1	44	1.64504
4	37	1.37706
1	25	0.780558
4	43	2.15783
1	72	4.04768
1	60	3.66071
1	63	3.21509
4	57	3.32149
4	51	3.08665
4	61	3.12787
4	65	3.74106
4	68	4.16358
4	58	4.21281
4	62	3.81562
4	60	2.89233
4	60	3.22689
4	67	3.3395
4	52	2.41376
4	57	2.54694
4	51	2.17677
1	32	0.560575
1	41	1.06209
1	42	1.42704
4	65	2.91412
4	65	3.3133
4	27	0.769777
1	58	3.06323
4	52	2.94375
1	24	0.466984
1	21	0.469145
1	26	0.421354
1	26	0.439644
1	23	0.368833
1	19	0.371154
4	27	0.486745
1	37	1.31518
1	42	1.4566
4	35	1.66616
4	38	1.654
4	37	1.36134
1	20	0.447724
4	58	2.86089
1	29	1.16275
4	37	1.80006
4	38	1.83087
4	39	1.44089
4	35	1.00384
4	41	1.49954
4	47	2.01273
4	37	1.0113
4	39	1.27826
1	34	0.683146
1	25	0.543525
1	27	0.554486
4	48	2.04834
4	45	1.7306
4	38	1.13619
4	38	0.907408
1	49	1.0572
4	46	1.49112
4	59	3.39861
4	58	3.13184
4	50	2.50182
4	50	2.45393
1	42	1.66915
4	41	1.5408
1	46	2.19027
4	35	1.55133
4	60	2.93324
4	52	2.77662
4	38	1.67823
4	32	1.29543
4	55	2.19949
4	47	1.91579
4	47	2.15049
4	47	1.89417
4	24	0.549825
1	21	0.313053
4	19	0.592256
4	41	1.58403
4	34	1.26137
1	19	0.337463
4	47	1.61984
4	50	1.74551
1	45	1.48083
1	47	1.67414
1	37	1.26371
1	41	1.37997
1	39	1.13855
4	43	1.66711
4	44	1.806
1	33	0.908339
1	34	1.07695
1	31	0.964669
4	41	1.6157
4	45	1.64669
4	40	1.39482
4	41	1.44578
4	39	1.09025
4	42	1.25
4	45	1.34116
4	39	0.99963
4	41	1.08786
4	42	1.07701
1	20	0.345433
1	23	0.379954
4	29	0.650666
1	22	0.507154
1	21	0.379214
1	20	0.352993
1	25	0.433654
1	27	0.657406
4	28	0.940009
4	30	1.18195
1	26	0.689507
1	22	0.572975
4	24	0.928179
4	30	0.834967
4	27	0.616406
4	27	0.575546
1	25	0.389264
4	28	0.573646
1	16	0.267902
4	34	0.95938
4	34	1.05382
4	29	1.43211
4	28	1.23365
4	29	1.12133
4	29	1.26288
1	19	0.502675
4	37	1.2029
1	18	0.437435
1	16	0.371553
4	21	0.748708
1	24	0.486864
1	38	1.39597
1	42	1.93128
1	48	2.17737
1	26	0.749067
1	37	1.36499
4	36	1.67612
4	36	1.83728
4	36	1.67195
4	43	1.91656
4	39	1.45162
4	31	1.39023
4	27	0.953889
1	20	0.317103
1	18	0.297193
1	19	0.307443
1	24	1.08708
1	39	1.56883
1	36	1.16589
4	34	1.16014
4	40	1.18098
4	39	1.19271
4	34	1.00042
1	20	0.344843
1	16	0.249623
1	47	2.23793
4	49	2.5618
4	56	2.76145
4	52	2.39041
1	64	2.83765
4	52	2.22367
4	41	2.11427
4	42	2.18718
4	45	2.31074
4	48	2.08193
1	27	0.761237
4	46	1.58713
4	45	1.416
4	41	1.17968
1	17	0.284843
1	18	0.274232
1	19	0.311203
4	23	0.552836
1	19	0.175081
1	18	0.181422
1	17	0.169462
1	33	0.848248
1	37	1.0353
4	33	1.05077
4	34	0.962239
4	32	0.99059
4	30	1.3546
4	29	1.04704
4	27	1.01586
4	25	0.842178
1	23	0.738357
1	17	0.313633
4	26	1.0673
1	18	0.340873
1	20	0.311943
1	19	0.387654
1	14	0.320863
1	49	1.92988
1	40	1.55987
1	30	0.823148
1	27	0.524505
4	44	1.66427
4	43	1.47538
4	44	1.5657
4	45	1.45711
4	47	1.5147
1	27	0.752038
4	39	1.24358
1	33	1.1208
1	30	0.870539
4	26	0.920008
1	38	1.38567
1	24	0.429405
1	36	0.785557
4	29	0.835458
4	24	0.651647
4	25	0.615526
4	38	1.21489
4	40	1.2787
4	38	1.21
4	41	1.3446
4	32	0.959229
4	36	0.781857
4	27	0.778148
4	29	0.851478
4	43	1.13405
4	29	0.841538
4	19	0.567826
1	35	0.754827
1	23	0.440504
1	31	0.525475
4	28	0.704927
4	31	0.854448
4	26	0.537905
4	27	0.543676
2	16	0.408644
1	17	0.190891
3	13	0.396744
1	15	0.194472
1	15	0.178982
1	16	0.206362
1	20	0.242762
1	20	0.223702
1	23	0.398494
4	25	0.587855
4	26	0.596706
1	17	0.465645
4	29	0.744437
4	28	0.689407
4	22	0.543015
4	22	0.490305
4	26	0.533105
4	23	0.426034
1	18	0.210272
3	12	0.435564
1	19	0.292523
4	20	0.569555
1	20	0.246882
1	28	0.495505
4	28	0.751827
4	28	0.661237
4	33	0.663026
1	29	0.438415
1	31	0.426994
4	28	0.587495
4	30	0.530705
1	16	0.245222
1	18	0.244882
4	27	0.509825
4	23	0.422144
1	25	0.256353
1	21	0.194271
1	22	0.430074
1	28	0.772008
4	31	0.795638
4	30	0.703546
4	31	0.625116
1	20	0.286692
1	21	0.238133
1	18	0.205152
1	17	0.186101
1	15	0.201342
1	12	0.191862
1	14	0.190782
1	15	0.186472
1	13	0.448644
1	24	0.97146
1	17	0.281123
1	13	0.268812
1	21	0.250603
1	13	0.246742
1	18	0.258992
1	20	0.309013
3	13	0.605306
4	21	0.466834
1	18	0.385494
4	25	0.740937
4	28	0.829248
1	18	0.385624
1	13	0.224752
4	28	0.899949
4	30	0.659686
1	12	0.241752
1	26	0.360214
1	23	0.264092
1	24	0.259173
1	22	0.337113
1	20	0.240173
4	21	0.444854
1	21	0.270952
4	22	0.440614
4	23	0.422934
1	23	0.405494
2	14	0.345513
1	18	0.189152
1	18	0.228673
2	13	0.356923
1	17	0.177352
1	18	0.174702
1	18	0.174051
1	18	0.159782
1	16	0.154351
1	14	0.146982
1	20	0.172541
2	14	0.325194
1	19	0.135701
1	15	0.226522
1	17	0.195682
1	18	0.182982
1	23	0.398714
1	18	0.185941
1	25	0.347854
1	21	0.361633
4	29	0.524135
4	24	0.759228
3	18	0.366603
3	18	0.348343
3	15	0.309713
1	23	0.175742
1	23	0.210982
3	14	0.305373
1	18	0.196451
3	15	0.387084
1	18	0.165402
4	18	0.459354
4	26	0.544315
4	22	0.455744
4	22	0.471435
1	14	0.200772
1	11	0.392284
1	13	0.136891
1	16	0.130221
4	16	0.606126
4	17	0.434594
4	19	0.368284
4	15	0.350163
4	19	0.324253
1	16	0.170372
1	15	0.163631
1	16	0.160272
1	13	0.177841
1	4	0.170332
1	8	0.163361
1	8	0.131252
2	11	0.288962
1	17	0.169042
1	8	0.213122
1	12	0.215972
1	11	0.217742
1	19	0.274203
3	12	0.520695
1	21	0.236442
1	19	0.233013
1	8	0.273132
1	10	0.364584
1	8	0.215562
1	19	0.227922
1	17	0.233402
2	15	0.378053
1	18	0.204832
1	19	0.213242
1	20	0.192532
1	15	0.222832
1	16	0.207982
1	17	0.195142
1	15	0.216942
1	15	0.149251
1	17	0.128212
1	14	0.156511
1	14	0.172372
1	14	0.179892
1	20	0.165871
1	15	0.158732
1	14	0.156841
1	18	0.160452
1	18	0.153552
1	16	0.158561
1	17	0.157992
1	16	0.168301
