NReq	NNode	NDomain	Time(ms)
507	10	1	1.91118
509	10	1	1.91716
511	10	1	2.00145
513	10	1	1.98059
515	10	1	1.97654
517	10	1	1.97673
519	10	1	2.0118
521	10	1	2.01499
523	10	1	2.02743
525	10	1	2.06881
527	10	1	2.06762
529	10	1	2.08512
531	10	1	2.08962
533	10	1	2.10174
535	10	1	2.14519
537	10	1	2.1393
539	10	1	2.15076
541	10	1	2.18125
543	10	1	2.1928
545	10	1	2.21356
547	10	1	2.22899
549	10	1	2.24439
551	10	1	2.26852
553	10	1	2.27717
555	10	1	2.29503
557	10	1	2.33271
559	10	1	2.325
561	10	1	2.34723
563	10	1	2.35988
565	10	1	2.35271
567	10	1	2.37559
569	10	1	2.39883
571	10	1	2.42858
573	10	1	2.4279
575	10	1	2.46993
577	10	1	2.4663
579	10	1	2.49914
581	10	1	2.49586
583	10	1	2.53945
585	10	1	2.54773
587	10	1	2.5697
589	10	1	2.57043
591	10	1	2.58879
593	10	1	2.60118
595	10	1	2.61543
597	10	1	2.64116
599	10	1	2.66153
601	10	1	2.6736
603	10	1	3.94515
605	10	1	3.55762
607	10	1	2.96103
609	10	1	3.87137
611	10	1	3.99489
613	10	1	3.91527
615	10	1	3.99043
617	10	1	3.93374
619	10	1	3.8095
621	10	1	3.88546
623	10	1	3.88627
625	10	1	3.95056
627	10	1	3.87904
629	10	1	3.90613
631	10	1	3.96449
633	10	1	3.96118
635	10	1	3.94642
637	10	1	4.03954
639	10	1	3.99708
641	10	1	4.0591
643	10	1	4.02338
645	10	1	4.0369
647	10	1	4.49947
649	10	1	3.95072
651	10	1	3.20982
653	10	1	3.14451
655	10	1	3.17134
657	10	1	3.2089
659	10	1	3.30651
661	10	1	3.29159
663	10	1	3.25909
665	10	1	3.26467
667	10	1	3.30249
669	10	1	3.30458
671	10	1	3.40344
673	10	1	3.42796
675	10	1	3.45042
677	10	1	3.42689
679	10	1	3.46052
681	10	1	3.50284
683	10	1	3.52333
685	10	1	3.55399
687	10	1	3.57706
689	10	1	3.58983
691	10	1	3.52833
693	10	1	3.573
695	10	1	3.5818
697	10	1	3.60561
699	10	1	3.61615
701	10	1	3.64185
703	10	1	3.66466
705	10	1	3.68767
707	10	1	3.69539
709	10	1	3.71629
711	10	1	3.85542
713	10	1	3.85464
715	10	1	3.85453
717	10	1	3.88362
719	10	1	3.91137
721	10	1	3.93968
723	10	1	3.94712
725	10	1	3.96921
727	10	1	3.99837
729	10	1	3.99366
731	10	1	4.03881
733	10	1	4.04104
735	10	1	4.08621
737	10	1	4.08901
739	10	1	4.12354
741	10	1	4.14142
743	10	1	4.17963
745	10	1	4.17323
747	10	1	4.13959
749	10	1	4.17098
751	10	1	4.17115
753	10	1	4.18458
755	10	1	4.23143
757	10	1	4.2723
759	10	1	4.27501
761	10	1	4.53997
763	10	1	4.42695
765	10	1	4.41204
767	10	1	4.34419
769	10	1	4.42317
771	10	1	4.49468
773	10	1	4.48905
775	10	1	4.54725
777	10	1	4.47297
779	10	1	4.5092
781	10	1	4.51936
783	10	1	4.62879
785	10	1	4.72059
787	10	1	4.66521
789	10	1	4.65935
791	10	1	4.70752
793	10	1	4.74046
795	10	1	4.77166
797	10	1	4.76428
799	10	1	4.83118
801	10	1	4.81806
803	10	1	4.81836
805	10	1	4.8808
807	10	1	4.89516
809	10	1	4.89947
811	10	1	4.9571
813	10	1	4.9554
815	10	1	5.0281
817	10	1	5.00202
819	10	1	5.00421
821	10	1	4.97786
823	10	1	5.10537
825	10	1	5.12293
827	10	1	5.06163
829	10	1	5.11887
831	10	1	5.12479
833	10	1	5.11254
835	10	1	5.17387
837	10	1	5.22069
839	10	1	5.18438
841	10	1	5.27278
843	10	1	5.3275
845	10	1	5.29383
847	10	1	5.28735
849	10	1	5.34957
851	10	1	5.35747
853	10	1	5.35516
855	10	1	5.4272
857	10	1	5.43814
859	10	1	5.42468
861	10	1	5.4994
863	10	1	5.5042
865	10	1	5.51216
867	10	1	5.55097
869	10	1	5.57634
871	10	1	5.59077
873	10	1	5.63292
875	10	1	5.65644
877	10	1	5.68023
879	10	1	5.71126
881	10	1	5.72769
883	10	1	5.75519
885	10	1	5.80755
887	10	1	5.79263
889	10	1	5.83519
891	10	1	5.86517
893	10	1	5.88411
895	10	1	5.90651
897	10	1	5.94761
899	10	1	5.95755
901	10	1	6.19336
903	10	1	6.15314
905	10	1	6.09489
907	10	1	6.17083
909	10	1	6.14794
911	10	1	6.16203
913	10	1	6.1807
915	10	1	6.16938
917	10	1	6.20823
919	10	1	6.34257
921	10	1	6.23507
923	10	1	6.30339
925	10	1	6.32945
927	10	1	6.38206
929	10	1	6.39127
931	10	1	6.38154
933	10	1	6.42069
935	10	1	6.45522
937	10	1	6.53115
939	10	1	6.51449
941	10	1	6.49051
943	10	1	6.78491
945	10	1	6.62757
947	10	1	6.63145
949	10	1	6.69618
951	10	1	6.62687
953	10	1	6.7038
955	10	1	6.70372
957	10	1	6.75547
959	10	1	6.79849
961	10	1	6.78134
963	10	1	6.8691
965	10	1	6.84785
967	10	1	6.90838
969	10	1	6.91338
971	10	1	6.91708
973	10	1	7.01484
975	10	1	6.9773
977	10	1	7.06161
979	10	1	7.07188
981	10	1	7.09242
983	10	1	7.0974
985	10	1	7.12373
987	10	1	7.17285
989	10	1	7.16573
991	10	1	7.22444
993	10	1	7.25539
995	10	1	7.28517
997	10	1	7.30454
999	10	1	7.3743
1001	10	1	7.37218
1003	10	1	7.40898
1005	10	1	7.51268
1007	10	1	7.54108
1009	10	1	7.64748
1011	10	1	7.60102
1013	10	1	7.60655
1015	10	1	7.64831
1017	10	1	7.61881
1019	10	1	7.6419
1021	10	1	7.66407
1023	10	1	7.70954
1025	10	1	7.71952
1027	10	1	7.76076
1029	10	1	7.78597
1031	10	1	7.83851
1033	10	1	7.81506
1035	10	1	7.90754
1037	10	1	7.87007
1039	10	1	7.95819
1041	10	1	7.95031
1043	10	1	8.06107
1045	10	1	8.03743
1047	10	1	8.09616
1049	10	1	8.08598
1051	10	1	8.15161
1053	10	1	8.13379
1055	10	1	8.23429
1057	10	1	8.20837
1059	10	1	8.28176
1061	10	1	8.2543
1063	10	1	8.37639
1065	10	1	8.34736
1067	10	1	8.37038
1069	10	1	8.40576
1071	10	1	8.4543
1073	10	1	8.4321
1075	10	1	8.78026
1077	10	1	8.59021
1079	10	1	8.60732
1081	10	1	8.6117
1083	10	1	8.63906
1085	10	1	8.64697
1087	10	1	8.69382
1089	10	1	8.70629
1091	10	1	8.74987
1093	10	1	10.7528
1095	10	1	14.3361
1097	10	1	9.7366
1099	10	1	9.72243
1101	10	1	9.13316
1103	10	1	9.48832
1105	10	1	9.24408
1107	10	1	9.20901
1109	10	1	9.46533
1111	10	1	9.1722
1113	10	1	9.50132
1115	10	1	9.21933
1117	10	1	9.61894
1119	10	1	9.28463
1121	10	1	9.33578
1123	10	1	9.39628
1125	10	1	9.36751
1127	10	1	9.38705
1129	10	1	9.42494
1131	10	1	9.46245
1133	10	1	9.53183
1135	10	1	9.62822
1137	10	1	9.76231
1139	10	1	9.57663
1141	10	1	9.78822
1143	10	1	9.70412
1145	10	1	9.85108
1147	10	1	9.94202
1149	10	1	9.99719
1151	10	1	10.0975
1153	10	1	9.94646
1155	10	1	10.2232
1157	10	1	10.2629
1159	10	1	10.0501
1161	10	1	10.1633
1163	10	1	10.086
1165	10	1	10.1463
1167	10	1	10.2987
1169	10	1	10.167
1171	10	1	10.382
1173	10	1	10.435
1175	10	1	10.2282
1177	10	1	10.4931
1179	10	1	10.3856
1181	10	1	10.4461
1183	10	1	10.5268
1185	10	1	10.4184
1187	10	1	10.6053
1189	10	1	10.6724
1191	10	1	10.4956
1193	10	1	10.682
1195	10	1	10.8234
