N	Time(ms)
115	0.01954
115	0.01997
116	0.02345
116	0.03079
116	0.02198
116	0.0273
117	0.02427
117	0.02166
117	0.02011
117	0.02042
118	0.02386
118	0.022111
118	0.02045
118	0.0204
119	0.02415
119	0.0223
119	0.02046
119	0.02058
120	0.02462
120	0.02252
120	0.020791
120	0.02242
121	0.02451
121	0.02294
121	0.02116
121	0.02265
122	0.02493
122	0.02315
122	0.020851
122	0.0212
123	0.02513
123	0.02447
123	0.02144
123	0.02129
124	0.02665
124	0.02293
124	0.022351
124	0.02248
125	0.0252
125	0.02289
125	0.02197
125	0.02219
126	0.02644
126	0.02428
126	0.02218
126	0.02207
127	0.02626
127	0.02506
127	0.0219
127	0.02238
128	0.02956
128	0.02685
128	0.02199
128	0.03117
129	0.01121
129	0.0099
129	0.00797
129	0.00786
130	0.01003
130	0.00886
130	0.00802
130	0.00778
131	0.00997
131	0.00927
131	0.00809
131	0.00781
132	0.00991
132	0.01041
132	0.00836
132	0.008231
133	0.01096
133	0.01012
133	0.00848
133	0.00816
134	0.01228
134	0.01071
134	0.00909
134	0.00873
135	0.01066
135	0.01151
135	0.00911
135	0.00837
136	0.01116
136	0.01143
136	0.009031
136	0.00863
137	0.01221
137	0.01418
137	0.01035
137	0.0098
138	0.01205
138	0.01157
138	0.00947
138	0.00935
139	0.01251
139	0.01435
139	0.01034
139	0.00949
140	0.01253
140	0.01206
140	0.01036
140	0.00984
141	0.01261
141	0.01509
141	0.01017
141	0.00982
142	0.01284
142	0.01265
142	0.01056
142	0.01021
143	0.01268
143	0.01276
143	0.01065
143	0.01015
144	0.01309
144	0.013831
144	0.01061
144	0.01031
145	0.01344
145	0.01169
145	0.01049
145	0.01009
146	0.01343
146	0.01193
146	0.01066
146	0.01033
147	0.01283
147	0.01161
147	0.01065
147	0.01037
148	0.01296
148	0.01139
148	0.01041
148	0.01021
149	0.01246
149	0.01142
149	0.01081
149	0.01039
150	0.01318
150	0.01211
150	0.01124
150	0.01078
151	0.01306
151	0.01278
151	0.011731
151	0.0108
152	0.01371
152	0.0131
152	0.01187
152	0.01093
153	0.0145
153	0.01287
153	0.01174
153	0.01079
154	0.01418
154	0.0126
154	0.01167
154	0.011001
155	0.01421
155	0.01261
155	0.01203
155	0.01109
156	0.0156
156	0.01293
156	0.01214
156	0.01125
157	0.0141
157	0.01262
157	0.01175
157	0.01101
158	0.01411
158	0.013181
158	0.01211
158	0.0116
159	0.01445
159	0.01354
159	0.01207
159	0.01175
160	0.01473
160	0.01435
160	0.01212
160	0.01183
161	0.01426
161	0.01343
161	0.01223
161	0.011371
162	0.01483
162	0.01344
162	0.01221
162	0.01158
163	0.01447
163	0.01258
163	0.01156
163	0.01151
164	0.01453
164	0.01275
164	0.01168
164	0.01134
165	0.01533
165	0.014
165	0.01275
165	0.01202
166	0.01462
166	0.01352
166	0.01222
166	0.01195
167	0.01528
167	0.01357
167	0.01238
167	0.01211
168	0.01498
168	0.015121
168	0.01298
168	0.01235
169	0.0165
169	0.01561
169	0.01376
169	0.01298
170	0.01633
170	0.01539
170	0.01368
170	0.01324
171	0.01641
171	0.01427
171	0.013191
171	0.01269
172	0.01581
172	0.01577
172	0.01348
172	0.01313
173	0.01697
173	0.01695
173	0.01452
173	0.150791
174	0.02019
174	0.01562
174	0.01112
174	0.01094
175	0.0228
175	0.014231
175	0.01158
175	0.01153
176	0.01386
176	0.01293
176	0.01142
176	0.01069
177	0.02034
177	0.01267
177	0.01121
177	0.0108
178	0.01359
178	0.01171
178	0.011
178	0.010481
179	0.01495
179	0.01279
179	0.01188
179	0.01101
180	0.02089
180	0.01358
180	0.00976
181	0.0176
181	0.01728
181	0.01428
181	0.01136
182	0.01324
182	0.01264
182	0.00944
182	0.008591
183	0.06962
183	0.01291
183	0.0096
183	0.00886
184	0.01252
184	0.0132
184	0.00978
184	0.00886
185	0.01342
185	0.0133
185	0.00978
185	0.00914
186	0.013401
186	0.01311
186	0.01059
186	0.00969
187	0.01359
187	0.01365
187	0.01136
187	0.01027
188	0.01522
188	0.01436
188	0.01104
188	0.0102
189	0.02188
189	0.01791
189	0.01292
189	0.016501
190	0.01588
190	0.01538
190	0.01129
190	0.01056
191	0.01579
191	0.01404
191	0.01175
191	0.0135
192	0.01538
192	0.01553
192	0.0119
192	0.01099
193	0.01447
193	0.01465
193	0.01103
193	0.01167
194	0.01465
194	0.0156
194	0.01263
194	0.01516
195	0.01914
195	0.01891
195	0.01248
195	0.01072
196	0.016381
196	0.01885
196	0.01292
196	0.01455
197	0.02323
197	0.02449
197	0.02299
197	0.01839
198	0.02275
198	0.028871
198	0.02058
198	0.01844
199	0.02424
199	0.02209
199	0.02051
199	0.02076
200	0.0265
200	0.017241
200	0.01449
200	0.01319
201	0.01673
201	0.01725
201	0.013
201	0.01265
202	0.01707
202	0.01673
202	0.01377
202	0.0134
203	0.01675
203	0.01819
203	0.013991
203	0.01329
204	0.01677
204	0.02028
204	0.01426
204	0.01385
205	0.01748
205	0.01871
205	0.01399
205	0.0127
206	0.02866
206	0.01878
206	0.015641
206	0.015
207	0.01839
207	0.018
207	0.01462
207	0.01484
208	0.01885
208	0.0202
208	0.01483
208	0.01344
209	0.0221
